captured_at,season,gameweek,code,status,chance,news,price
2026-09-07T13:48:28.061Z,2026-27,4,438464,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,450542,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,590014,u,0.0,Has joined Bristol City on loan for the rest of the season,4.5
2026-09-07T13:48:28.061Z,2026-27,4,672492,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,247412,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,231747,i,0.0,Hamstring injury - Expected back 11 Oct,6.4
2026-09-07T13:48:28.061Z,2026-27,4,205533,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,660392,u,0.0,has returned to Getafe CF,5.0
2026-09-07T13:48:28.061Z,2026-27,4,433154,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,169593,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,223723,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,570794,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,559152,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,605972,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,172850,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,450063,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,533646,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,128295,i,0.0,Groin injury - Unknown return date,4.9
2026-09-07T13:48:28.061Z,2026-27,4,242898,a,,,5.9
2026-09-07T13:48:28.061Z,2026-27,4,111234,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,229600,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,138001,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,17761,a,,,6.0
2026-09-07T13:48:28.061Z,2026-27,4,480455,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,106611,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,512462,a,,,4.9
2026-09-07T13:48:28.061Z,2026-27,4,224967,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,243571,u,0.0,Has joined Torino permanently,4.5
2026-09-07T13:48:28.061Z,2026-27,4,499300,u,0.0,Has joined Malaga on loan for the rest of the season,4.0
2026-09-07T13:48:28.061Z,2026-27,4,215413,a,,,6.5
2026-09-07T13:48:28.061Z,2026-27,4,114283,a,100.0,,6.5
2026-09-07T13:48:28.061Z,2026-27,4,232928,d,75.0,Unspecified injury - 75% chance of playing,6.0
2026-09-07T13:48:28.061Z,2026-27,4,550615,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,502697,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,609873,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,496661,a,,,5.4
2026-09-07T13:48:28.061Z,2026-27,4,513466,a,,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,244860,a,100.0,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,486385,u,0.0,Has joined Fiorentina permanently,5.4
2026-09-07T13:48:28.061Z,2026-27,4,586309,a,,,5.6
2026-09-07T13:48:28.061Z,2026-27,4,154043,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,629068,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,80201,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,86873,a,,,4.0
2026-09-07T13:48:28.061Z,2026-27,4,505079,u,0.0,Has joined York City on loan for the rest of the season,4.0
2026-09-07T13:48:28.061Z,2026-27,4,174874,a,100.0,,5.0
2026-09-07T13:48:28.061Z,2026-27,4,169528,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,246301,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,167074,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,232892,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,166477,a,,,4.5
2026-09-07T13:48:28.061Z,2026-27,4,153133,a,,,5.5
2026-09-07T13:48:28.061Z,2026-27,4,209289,a,,,5.4
